COMPANY_ID,ASX_TICKER,COMPANY_NAME,GICS_SECTOR,GICS_INDUSTRY,MARKET_CAP_AUD,HQ_CITY,HQ_COUNTRY,EMPLOYEE_COUNT,WEBSITE_URL,CAREERS_URL,IR_URL,BLOG_URL,GOVERNANCE_URL
94e439cf06f5d906,360.AX,Life360,Information Technology,,,,AU,,,,,,
d0c6ec8593a948c7,4DX.AX,4DMedical,Healthcare,,,,AU,,,,,,
47b8a241e09e2c2b,A2M.AX,a2 Milk Company,Consumer Staples,,,,AU,,,,,,
bd9278df6760f2e7,AAI.AX,Alcoa,Materials,,,,AU,,,,,,
202db724f49cc988,AFI.AX,Australian Foundation Investment Company,Financials,,,,AU,,,,,,
84bf6aa8211b70d1,AGL.AX,AGL Energy,Utilities,,,,AU,,,,,,
2cc1b09a357bb8e9,AIA.AX,Auckland International Airport Limited,Industrials,,,,AU,,,,,,
a1c8a8e5403a8eee,ALD.AX,Ampol,Energy,,,,AU,,,,,,
fafbf5c550b35da8,ALK.AX,Alkane Resources,Materials,,,,AU,,,,,,
dd05809617a11501,ALL.AX,Aristocrat Leisure,Consumer Discretionary,,,,AU,,,,,,
da739340b1ace9cd,ALQ.AX,ALS,Industrials,,,,AU,,,,,,
f17ff738b3691eb9,ALX.AX,Atlas Arteria,Industrials,,,,AU,,,,,,
1ce428b9cf14e189,AMC.AX,Amcor,Materials,,,,AU,,,,,,
2a1bf270609d4dc4,AMP.AX,AMP,Financials,,,,AU,,,,,,
cdc90fa1e6e17c76,ANN.AX,Ansell,Healthcare,,,,AU,,,,,,
90d4407b13443ea8,ANZ.AX,Australia & New Zealand Banking Group,Financials,,,,AU,,,,,,
0a54a570afda0ffd,APA.AX,APA Group,Utilities,,,,AU,,,,,,
56d6e997cec682de,APE.AX,Eagers Automotive,Consumer Discretionary,,,,AU,,,,,,
5d7bd650d9f4a77e,ARB.AX,ARB Corporation,Consumer Discretionary,,,,AU,,,,,,
b0a118006390739f,ARG.AX,Argo Investments,Financials,,,,AU,,,,,,
c720a08135128ece,ASB.AX,Austal,Industrials,,,,AU,,,,,,
39a8768f58073698,ASK.AX,Abacus Storage King,Real Estate,,,,AU,,,,,,
a86c8a00c069b925,ASX.AX,ASX,Financials,,,,AU,,,,,,
bc78fdc890af4805,AUB.AX,AUB Group,Financials,,,,AU,,,,,,
fe5eca61920459c8,AZJ.AX,Aurizon,Industrials,,,,AU,,,,,,
2f0553982fdeb450,BEN.AX,Bendigo & Adelaide Bank,Financials,,,,AU,,,,,,
